Canadian Food,US Matches
"Vegetable oil, corn","Vegetable oil, NFS(81.08% match #82101000); Vegetable broth, bouillon(68.18% match #75657000); Vegetable soup, chunky style(63.83% match #75656020); "
"Animal fat, mutton tallow",
"Vegetable oil, walnut","Vegetable oil, NFS(76.92% match #82101000); Vegetable broth, bouillon(65.22% match #75657000); Butter-vegetable oil blend(63.83% match #81105500); "
"Vegetable oil, almond","Vegetable oil, NFS(76.92% match #82101000); Butter-vegetable oil blend(68.09% match #81105500); "
"Vegetable oil, apricot kernel","Vegetables, pickled(66.67% match #75515100); Vegetable oil, NFS(63.83% match #82101000); "
"Vegetable oil, soybean lecithin","Vegetable soup, home recipe(65.52% match #75649110); Vegetable noodle soup, home recipe(61.54% match #75649150); Vegetable oil, NFS(61.22% match #82101000); "
"Vegetable oil, hazelnut","Vegetable oil, NFS(73.17% match #82101000); Vegetable broth, bouillon(62.5% match #75657000); Butter-vegetable oil blend(61.22% match #81105500); "
"Vegetable oil, babassu","Vegetable oil, NFS(75.0% match #82101000); Vegetable chips(64.86% match #71220000); Vegetable broth, bouillon(63.83% match #75657000); "
"Animal fat, chicken",Tamale with chicken(68.42% match #58103130); Animal fat or drippings(61.9% match #81201000); 
"Shortening, household, soybean (hydrogenated) and palm",
"Animal fat, duck",Animal fat or drippings(61.54% match #81201000); 
"Animal fat, turkey","Bologna, turkey(60.61% match #25220440); "
"Animal fat, goose",Animal fat or drippings(65.0% match #81201000); 
"Vegetable oil, avocado","Vegetable oil, NFS(75.0% match #82101000); Vegetable soup, home recipe(61.22% match #75649110); "
"Vegetable oil, canola","Vegetable oil, NFS(76.92% match #82101000); Vegetable chips(61.11% match #71220000); Vegetable curry(61.11% match #75440600); "
"Vegetable oil, mustard","Vegetable oil, NFS(75.0% match #82101000); Vegetable tempura(66.67% match #75440200); Vegetable curry(64.86% match #75440600); "
"Vegetable oil, sunflower, oleic (70% and over)",
"Shortening, special purpose, cake and icing (frosting)",
"Shortening, special purpose, baking",
"Vegetable oil, oat","Vegetable oil, NFS(83.33% match #82101000); Vegetable chips(66.67% match #71220000); Vegetable broth, bouillon(65.12% match #75657000); "
"Fish oil, cod liver",
"Fish oil, herring","Roe, herring(68.97% match #26209100); "
"Fish oil, menhaden","Fish stick, meatless(63.16% match #41811200); "
"Fish oil, menhaden, fully hydrogenated",
"Fish oil, salmon",
"Fish oil, sardine",
"Shortening, multipurpose, hydrogenated soybean and palm",
"Animal fat, lard (pork)",
"Shortening, industrial, for frying (liquid), soybean",
"Salad dressing, russian, commercial, regular","Salad dressing, NFS, for salads(61.33% match #83100100); "
"Salad dressing, russian, commercial, low calorie",
"Salad dressing, thousand island, commercial, regular",
"Salad dressing, mayonnaise type, commercial, regular",
"Salad dressing, french, commercial, low calorie",
"Salad dressing, italian, commercial, low Calorie",
"Salad dressing, thousand island, commercial, low calorie",
"Salad dressing, mayonnaise, commercial, regular",
"Salad dressing, italian, commercial, regular",
"Salad dressing, french, commercial, regular","Salad dressing, NFS, for salads(62.16% match #83100100); "
"Salad dressing, blue or roquefort cheese, commercial, regular",
"Animal fat, native, seal oil",
"Shortening, household, unspecified vegetable and animal oils","Shortening, NS as to vegetable or animal(62.0% match #81203000); "
"Shortening, industrial, for frying (liquid), canola",
"Shortening, industrial, for frying (solid), canola",
"Shortening, industrial, for frying (solid), soybean",
"Shortening, industrial, for baking (cake), canola",
"Shortening, industrial, for baking (cake), soybean",
